 63.02 -31.55 -0.098701
 63.02 -31.45 -0.194506
 63.02 -31.25 -0.194506
 63.06 -31.65 -0.194835
 63.06 -31.55 -0.55822
 63.06 -31.45 -1.17492
 63.06 -31.25 -1.9446
 63.06 -31.15 -0.362099
 63.1 -31.75 -0.362711
 63.1 -31.65 -1.33304
 63.1 -31.55 -1.21571
 63.1 -31.45 -1.69321
 63.1 -31.35 -2.89031
 63.1 -31.25 -1.96102
 63.1 -31.15 -3.25804
 63.14 -31.85 -0.596408
 63.14 -31.75 -2.66046
 63.14 -31.65 -1.8554
 63.14 -31.55 -2.82694
 63.14 -31.45 -3.90763
 63.14 -31.35 -4.14945
 63.14 -31.25 -5.3638
 63.14 -31.15 -3.29322
 63.18 -31.85 -4.32851
 63.18 -31.75 -3.05116
 63.18 -31.65 -4.87175
 63.18 -31.55 -5.4224
 63.18 -31.45 -6.81243
 63.18 -31.35 -8.50121
 63.18 -31.25 -7.56841
 63.18 -31.15 -8.13189
 63.22 -31.85 -4.35839
 63.22 -31.75 -7.60669
 63.22 -31.65 -7.95092
 63.22 -31.55 -10.3427
 63.22 -31.45 -12.3975
 63.22 -31.35 -13.2766
 63.22 -31.25 -13.942
 63.22 -31.15 -10.7422
 63.22 -31.05 -9.90708
 63.26 -31.85 -9.808
 63.26 -31.75 -10.795
 63.26 -31.65 -14.6988
 63.26 -31.55 -17.0922
 63.26 -31.45 -19.8627
 63.26 -31.35 -21.5535
 63.26 -31.25 -19.7564
 63.26 -31.15 -17.611
 63.26 -31.05 -11.8306
 63.26 -30.95 -9.462
 63.3 -31.95 -10.1091
 63.3 -31.85 -12.237
 63.3 -31.75 -18.1692
 63.3 -31.65 -21.6917
 63.3 -31.55 -26.4646
 63.3 -31.45 -29.526
 63.3 -31.35 -30.1768
 63.3 -31.25 -28.3537
 63.3 -31.15 -22.3708
 63.3 -31.05 -17.078
 63.3 -30.95 -10.0325
 63.3 -30.85 -6.99108
 63.34 -32.05 -8.40856
 63.34 -31.95 -11.225
 63.34 -31.85 -18.5965
 63.34 -31.75 -23.8535
 63.34 -31.65 -31.066
 63.34 -31.55 -35.8903
 63.34 -31.45 -39.3954
 63.34 -31.35 -39.4522
 63.34 -31.25 -35.0856
 63.34 -31.15 -28.3286
 63.34 -31.05 -19.3696
 63.34 -30.95 -12.7226
 63.34 -30.85 -6.61559
 63.34 -30.75 -4.00844
 63.38 -32.15 -5.98464
 63.38 -32.05 -8.60761
 63.38 -31.95 -15.9809
 63.38 -31.85 -22.2696
 63.38 -31.75 -31.5747
 63.38 -31.65 -38.5283
 63.38 -31.55 -44.9267
 63.38 -31.45 -47.5182
 63.38 -31.35 -46.2812
 63.38 -31.25 -40.5919
 63.38 -31.15 -31.4256
 63.38 -31.05 -21.8189
 63.38 -30.95 -13.15
 63.38 -30.85 -7.43558
 63.38 -30.75 -3.57967
 63.38 -30.65 -1.83277
 63.42 -32.25 -4.22533
 63.42 -32.15 -6.11208
 63.42 -32.05 -12.5962
 63.42 -31.95 -18.5627
 63.42 -31.85 -28.6042
 63.42 -31.75 -37.1235
 63.42 -31.65 -46.1052
 63.42 -31.55 -51.232
 63.42 -31.45 -53.3
 63.42 -31.35 -50.2979
 63.42 -31.25 -43.2031
 63.42 -31.15 -32.9462
 63.42 -31.05 -22.4978
 63.42 -30.95 -13.4808
 63.42 -30.85 -7.50917
 63.42 -30.75 -3.59394
 63.42 -30.65 -1.83227
 63.46 -32.35 -3.79651
 63.46 -32.25 -4.56499
 63.46 -32.15 -10.2329
 63.46 -32.05 -15.0414
 63.46 -31.95 -24.6904
 63.46 -31.85 -33.6152
 63.46 -31.75 -44.4621
 63.46 -31.65 -51.9946
 63.46 -31.55 -57.1154
 63.46 -31.45 -57.0114
 63.46 -31.35 -52.8588
 63.46 -31.25 -44.0976
 63.46 -31.15 -33.5785
